no	n o |
dedos	d e d o s |
mostrar	m o s t r a r |
funcione	f u n c i o n e |
reconciliaciones	r e c o n c i l i a c i o n e s |
cobardes	c o b a r d e s |
defecado	d e f e c a d o |
genial	g e n i a l |
hayas	h a y a s |
conocido	c o n o c i d o |
positivo	p o s i t i v o |
déjame	d é j a m e |
estratos	e s t r a t o s |
difíciles	d i f í c i l e s |
externos	e x t e r n o s |
conveniencia	c o n v e n i e n c i a |
piense	p i e n s e |
equivoca	e q u i v o c a |
jordi	j o r d i |
solà	s o l à |
encuentran	e n c u e n t r a n |
bodega	b o d e g a |
san	s a n |
martín	m a r t í n |
tenga	t e n g a |
respeto	r e s p e t o |
dalila	d a l i l a |
permanezca	p e r m a n e z c a |
encargo	e n c a r g o |
pastel	p a s t e l |
encargado	e n c a r g a d o |
caridad	c a r i d a d |
tambor	t a m b o r |
impacto	i m p a c t o |
debió	d e b i ó |
despertar	d e s p e r t a r |
hipersueño	h i p e r s u e ñ o |
debemos	d e b e m o s |
necesite	n e c e s i t e |
debería	d e b e r í a |
ponerme	p o n e r m e |
estudiar	e s t u d i a r |
arrancada	a r r a n c a d a |
asno	a s n o |
estropeado	e s t r o p e a d o |
aprovechar	a p r o v e c h a r |
tirar	t i r a r |
gracia	g r a c i a |
extraña	e x t r a ñ a |
ondulante	o n d u l a n t e |
razas	r a z a s |
nómadas	n ó m a d a s |
cruzó	c r u z ó |
rebocillo	r e b o c i l l o |
poniéndose	p o n i é n d o s e |
encendida	e n c e n d i d a |
arreglar	a r r e g l a r |
aparato	a p a r a t o |
ingeniero	i n g e n i e r o |
superior	s u p e r i o r |
deja	d e j a |
rollo	r o l l o |
pone	p o n e |
baja	b a j a |
grueso	g r u e s o |
mueran	m u e r a n |
ratas	r a t a s |
irás	i r á s |
barcelona	b a r c e l o n a |
coche	c o c h e |
particular	p a r t i c u l a r |
miraron	m i r a r o n |
empezaron	e m p e z a r o n |
jungla	j u n g l a |
peligroso	p e l i g r o s o |
sonado	s o n a d o |
pudo	p u d o |
idiotas	i d i o t a s |
primera	p r i m e r a |
riendo	r i e n d o |
reía	r e í a |
copas	c o p a s |
guitarra	g u i t a r r a |
española	e s p a ñ o l a |
sultana	s u l t a n a |
fiesta	f i e s t a |
argenta	a r g e n t a |
pis	p i s |
chita	c h i t a |
callando	c a l l a n d o |
aprovechando	a p r o v e c h a n d o |
mírenlo	m í r e n l o |
ejército	e j é r c i t o |
suizo	s u i z o |
sabia	s a b i a |
debíamos	d e b í a m o s |
significado	s i g n i f i c a d o |
troten	t r o t e n |
asnos	a s n o s |
aquel	a q u e l |
colmaba	c o l m a b a |
vaso	v a s o |
hermanito	h e r m a n i t o |
mensaje	m e n s a j e |
planes	p l a n e s |
servirán	s e r v i r á n |
pasta	p a s t a |
sabor	s a b o r |
podamos	p o d a m o s |
haberle	h a b e r l e |
encomendado	e n c o m e n d a d o |
guiase	g u i a s e |
despidió	d e s p i d i ó |
habido	h a b i d o |
ligera	l i g e r a |
confusión	c o n f u s i ó n |
corriente	c o r r i e n t e |
plan	p l a n |
cumplir	c u m p l i r |
viéndome	v i é n d o m e |
pie	p i e |
velozmente	v e l o z m e n t e |
alborotando	a l b o r o t a n d o |
trinos	t r i n o s |
sacudido	s a c u d i d o |
acosté	a c o s t é |
pido	p i d o |
peluquería	p e l u q u e r í a |
dejemos	d e j e m o s |
gentil	g e n t i l |
estando	e s t a n d o |
hacerla	h a c e r l a |
infeliz	i n f e l i z |
veintiuno	v e i n t i u n o |
comen	c o m e n |
vivos	v i v o s |
roberto	r o b e r t o |
mona	m o n a |
gatos	g a t o s |
pardos	p a r d o s |
paga	p a g a |
carrera	c a r r e r a |
extremad	e x t r e m a d |
precauciones	p r e c a u c i o n e s |
sorpresas	s o r p r e s a s |
malas	m a l a s |
feas	f e a s |
ciento	c i e n t o |
mensajes	m e n s a j e s |
albur	a l b u r |
viajero	v i a j e r o |
certero	c e r t e r o |
resisto	r e s i s t o |
celebra	c e l e b r a |
malos	m a l o s |
ratos	r a t o s |
hacemos	h a c e m o s |
cabreado	c a b r e a d o |
quedo	q u e d o |
justifica	j u s t i f i c a |
dispararon	d i s p a r a r o n |
estaban	e s t a b a n |
poca	p o c a |
distancia	d i s t a n c i a |
hazle	h a z l e |
caso	c a s o |
vete	v e t e |
oíase	o í a s e |
lejano	l e j a n o |
lluvia	l l u v i a |
conveniente	c o n v e n i e n t e |
desconectes	d e s c o n e c t e s |
cambios	c a m b i o s |
guardado	g u a r d a d o |
fiestas	f i e s t a s |
común	c o m ú n |
ningún	n i n g ú n |
volveremos	v o l v e r e m o s |
veracruz	v e r a c r u z |
ahurtadillas	a h u r t a d i l l a s |
lloriquear	l l o r i q u e a r |
senterada	s e n t e r a d a |
valle	v a l l e |
fosca	f o s c a |
ordénalas	o r d é n a l a s |
orden	o r d e n |
alfabético	a l f a b é t i c o |
pierde	p i e r d e |
sabrá	s a b r á |
médanos	m é d a n o s |
encontramos	e n c o n t r a m o s |
fuimos	f u i m o s |
buscarlos	b u s c a r l o s |
esquife	e s q u i f e |
cabecea	c a b e c e a |
costado	c o s t a d o |
cremallera	c r e m a l l e r a |
mantener	m a n t e n e r |
increíble	i n c r e í b l e |
alemán	a l e m á n |
riega	r i e g a |
hortensia	h o r t e n s i a |
margarita	m a r g a r i t a |
podía	p o d í a |
aborto	a b o r t o |
interrupción	i n t e r r u p c i ó n |
embarazo	e m b a r a z o |
desplegar	d e s p l e g a r |
tendí	t e n d í |
tendidos	t e n d i d o s |
valen	v a l e n |
habló	h a b l ó |
impaciente	i m p a c i e n t e |
dejó	d e j ó |
húmedo	h ú m e d o |
profesora	p r o f e s o r a |
importa	i m p o r t a |
gramática	g r a m á t i c a |
contenido	c o n t e n i d o |
bebedizo	b e b e d i z o |
dado	d a d o |
olvido	o l v i d o |
arpones	a r p o n e s |
alta	a l t a |
contaminación	c o n t a m i n a c i ó n |
centra	c e n t r a |
siguiente	s i g u i e n t e |
cementerio	c e m e n t e r i o |
comendadoras	c o m e n d a d o r a s |
apartábase	a p a r t á b a s e |
lánguidamente	l á n g u i d a m e n t e |
deshechos	d e s h e c h o s |
marino	m a r i n o |
montados	m o n t a d o s |
submarina	s u b m a r i n a |
deténganse	d e t é n g a n s e |
fanáticos	f a n á t i c o s |
pelee	p e l e e |
pinza	p i n z a |
ojeras	o j e r a s |
pelotas	p e l o t a s |
zona	z o n a |
quedarnos	q u e d a r n o s |
añitos	a ñ i t o s |
chica	c h i c a |
ponernos	p o n e r n o s |
mantenemos	m a n t e n e m o s |
unidos	u n i d o s |
fantasía	f a n t a s í a |
humor	h u m o r |
insuperable	i n s u p e r a b l e |
tarta	t a r t a |
permanecido	p e r m a n e c i d o |
arcanas	a r c a n a s |
rejuvenece	r e j u v e n e c e |
envejece	e n v e j e c e |
ajero	a j e r o |
saberlo	s a b e r l o |
bosques	b o s q u e s |
masieta	m a s i e t a |
sotobosque	s o t o b o s q u e |
coged	c o g e d |
animal	a n i m a l |
amenaza	a m e n a z a |
presencia	p r e s e n c i a |
dió	d i ó |
alcance	a l c a n c e |
emparejándose	e m p a r e j á n d o s e |
hube	h u b e |
castigarle	c a s t i g a r l e |
espuela	e s p u e l a |
puse	p u s e |
galope	g a l o p e |
parra	p a r r a |
higuera	h i g u e r a |
verdean	v e r d e a n |
imposible	i m p o s i b l e |
isla	i s l a |
atrás	a t r á s |
distingo	d i s t i n g o |
desnudos	d e s n u d o s |
arrojan	a r r o j a n |
nadan	n a d a n |
distancias	d i s t a n c i a s |
final	f i n a l |
desactivar	d e s a c t i v a r |
guardián	g u a r d i á n |
hablaremos	h a b l a r e m o s |
siga	s i g a |
estómago	e s t ó m a g o |
limpiamos	l i m p i a m o s |
ayudaron	a y u d a r o n |
evidente	e v i d e n t e |
empezó	e m p e z ó |
concluyó	c o n c l u y ó |
salmodiando	s a l m o d i a n d o |
cuento	c u e n t o |
tristezas	t r i s t e z a s |
salvar	s a l v a r |
calor	c a l o r |
fraguas	f r a g u a s |
vulcano	v u l c a n o |
sobrevivir	s o b r e v i v i r |
tendrá	t e n d r á |
sepa	s e p a |
personas	p e r s o n a s |
linaje	l i n a j e |
podré	p o d r é |
volar	v o l a r |
retorciéndose	r e t o r c i é n d o s e |
pálida	p á l i d a |
trágica	t r á g i c a |
adelantaba	a d e l a n t a b a |
exclamando	e x c l a m a n d o |
noble	n o b l e |
ignorará	i g n o r a r á |
completo	c o m p l e t o |
incomparable	i n c o m p a r a b l e |
cualquiera	c u a l q u i e r a |
temario	t e m a r i o |
callo	c a l l o |
depende	d e p e n d e |
decisión	d e c i s i ó n |
cargo	c a r g o |
doloroso	d o l o r o s o |
llamar	l l a m a r |
atención	a t e n c i ó n |
sal	s a l |
auto	a u t o |
muévete	m u é v e t e |
francisco	f r a n c i s c o |
quico	q u i c o |
familias	f a m i l i a s |
mayordomo	m a y o r d o m o |
llenos	l l e n o s |
lágrimas	l á g r i m a s |
mola	m o l a |
comuna	c o m u n a |
pedírselo	p e d í r s e l o |
desesperado	d e s e s p e r a d o |
toques	t o q u e s |
escuchen	e s c u c h e n |
postres	p o s t r e s |
bolsillo	b o l s i l l o |
chaqueta	c h a q u e t a |
temprano	t e m p r a n o |
vendrás	v e n d r á s |
baúl	b a ú l |
fiera	f i e r a |
arrogancia	a r r o g a n c i a |
llevó	l l e v ó |
sonreír	s o n r e í r |
declaración	d e c l a r a c i ó n |
principios	p r i n c i p i o s |
exigible	e x i g i b l e |
maleta	m a l e t a |
olvida	o l v i d a |
pedro	p e d r o |
montado	m o n t a d o |
tarima	t a r i m a |
verde	v e r d e |
especie	e s p e c i e |
encuentro	e n c u e n t r o |
buscándose	b u s c á n d o s e |
oscuridad	o s c u r i d a d |
aguacero	a g u a c e r o |
guantes	g u a n t e s |
ratones	r a t o n e s |
sur	s u r |
chiflados	c h i f l a d o s |
encerrados	e n c e r r a d o s |
antigua	a n t i g u a |
lonja	l o n j a |
tarda	t a r d a |
comer	c o m e r |
beber	b e b e r |
bailar	b a i l a r |
gozar	g o z a r |
acabar	a c a b a r |
demasiadas	d e m a s i a d a s |
figuritas	f i g u r i t a s |
míos	m í o s |
vejez	v e j e z |
locura	l o c u r a |
acabes	a c a b e s |
alabes	a l a b e s |
prestar	p r e s t a r |
enemigos	e n e m i g o s |
devolver	d e v o l v e r |
ovejas	o v e j a s |
haga	h a g a |
esperan	e s p e r a n |
reunión	r e u n i ó n |
resultados	r e s u l t a d o s |
proyecto	p r o y e c t o |
chaleco	c h a l e c o |
veintinueve	v e i n t i n u e v e |
bastardo	b a s t a r d o |
césar	c é s a r |
borgia	b o r g i a |
pasé	p a s é |
aturdir	a t u r d i r |
matar	m a t a r |
palo	p a l o |
película	p e l í c u l a |
podrías	p o d r í a s |
respuestas	r e s p u e s t a s |
test	t e s t |
pobreza	p o b r e z a |
salta	s a l t a |
vernos	v e r n o s |
corrió	c o r r i ó |
ahuyentando	a h u y e n t a n d o |
rebenque	r e b e n q u e |
astrosa	a s t r o s a |
turba	t u r b a |
vámonos	v á m o n o s |
discutimos	d i s c u t i m o s |
tomándonos	t o m á n d o n o s |
moritz	m o r i t z |
evitó	e v i t ó |
jugándome	j u g á n d o m e |
destreza	d e s t r e z a |
salvaje	s a l v a j e |
intenta	i n t e n t a |
relajarte	r e l a j a r t e |
respira	r e s p i r a |
profundamente	p r o f u n d a m e n t e |
ulises	u l i s e s |
ajustan	a j u s t a n |
disputan	d i s p u t a n |
regatean	r e g a t e a n |
cabo	c a b o |
rosario	r o s a r i o |
desgrana	d e s g r a n a |
rabia	r a b i a |
elogié	e l o g i é |
habilidades	h a b i l i d a d e s |
angelina	a n g e l i n a |
creas	c r e a s |
papanatas	p a p a n a t a s |
haces	h a c e s |
reír	r e í r |
salí	s a l í |
antiguo	a n t i g u o |
esclavo	e s c l a v o |
verse	v e r s e |
dinosaurio	d i n o s a u r i o |
avizorado	a v i z o r a d o |
miraba	m i r a b a |
alternativamente	a l t e r n a t i v a m e n t e |
reja	r e j a |
sacristía	s a c r i s t í a |
primer	p r i m e r |
tuve	t u v e |
seiscientos	s e i s c i e n t o s |
rejuvenecido	r e j u v e n e c i d o |
cierta	c i e r t a |
felicidad	f e l i c i d a d |
melancólica	m e l a n c ó l i c a |
linda	l i n d a |
veras	v e r a s |
decidiste	d e c i d i s t e |
amenazar	a m e n a z a r |
detenido	d e t e n i d o |
vuela	v u e l a |
estudiantes	e s t u d i a n t e s |
petardo	p e t a r d o |
también	t a m b i é n |
pásalo	p á s a l o |
siembra	s i e m b r a |
vientos	v i e n t o s |
recoge	r e c o g e |
tempestades	t e m p e s t a d e s |
caminos	c a m i n o s |
hacen	h a c e n |
herrero	h e r r e r o |
emisora	e m i s o r a |
oyentes	o y e n t e s |
muevas	m u e v a s |
estilo	e s t i l o |
pérdida	p é r d i d a |
interés	i n t e r é s |
grande	g r a n d e |
manolo	m a n o l o |
modos	m o d o s |
flete	f l e t e |
carón	c a r ó n |
enojado	e n o j a d o |
mirado	m i r a d o |
ése	é s e |
darte	d a r t e |
euros	e u r o s |
dineros	d i n e r o s |
pagados	p a g a d o s |
cruzados	c r u z a d o s |
daría	d a r í a |
vecino	v e c i n o |
hechos	h e c h o s |
padrino	p a d r i n o |
anclas	a n c l a s |
bolso	b o l s o |
esconderlo	e s c o n d e r l o |
ganaba	g a n a b a |
jarocho	j a r o c h o |
alejaron	a l e j a r o n |
tomaré	t o m a r é |
leche	l e c h e |
galletas	g a l l e t a s |
cambio	c a m b i o |
turno	t u r n o |
desaparezca	d e s a p a r e z c a |
preinscripción	p r e i n s c r i p c i ó n |
realizará	r e a l i z a r á |
calambre	c a l a m b r e |
tapar	t a p a r |
buey	b u e y |
buscaron	b u s c a r o n |
nuevamente	n u e v a m e n t e |
traer	t r a e r |
consigo	c o n s i g o |
cuide	c u i d e |
museo	m u s e o |
exposición	e x p o s i c i ó n |
pantallas	p a n t a l l a s |
tequil	t e q u i l |
explicar	e x p l i c a r |
artefacto	a r t e f a c t o |
explosivo	e x p l o s i v o |
descarnado	d e s c a r n a d o |
tieso	t i e s o |
deleitante	d e l e i t a n t e |
agarraban	a g a r r a b a n |
barca	b a r c a |
responde	r e s p o n d e |
delira	d e l i r a |
recogíalos	r e c o g í a l o s |
comenzaba	c o m e n z a b a |
barajar	b a r a j a r |
codicia	c o d i c i a |
empujoncito	e m p u j o n c i t o |
abierta	a b i e r t a |
libres	l i b r e s |
acechaban	a c e c h a b a n |
resquicios	r e s q u i c i o s |
barracas	b a r r a c a s |
huroneando	h u r o n e a n d o |
atreves	a t r e v e s |
cogido	c o g i d o |
cabra	c a b r a |
popa	p o p a |
chalecos	c h a l e c o s |
linternas	l i n t e r n a s |
chiquillo	c h i q u i l l o |
abrió	a b r i ó |
necesita	n e c e s i t a |
divertirse	d i v e r t i r s e |
discreto	d i s c r e t o |
público	p ú b l i c o |
secreto	s e c r e t o |
dani	d a n i |
llevado	l l e v a d o |
toldos	t o l d o s |
hamacas	h a m a c a s |
tsunami	t s u n a m i |
arrasó	a r r a s ó |
hará	h a r á |
recibió	r e c i b i ó |
puñetazo	p u ñ e t a z o |
cuanto	c u a n t o |
sopas	s o p a s |
sorber	s o r b e r |
atajo	a t a j o |
ahorra	a h o r r a |
acuerdas	a c u e r d a s |
foto	f o t o |
instagram	i n s t a g r a m |
aplicación	a p l i c a c i ó n |
usada	u s a d a |
jóvenes	j ó v e n e s |
medianoche	m e d i a n o c h e |
morse	m o r s e |
asustarme	a s u s t a r m e |
jugado	j u g a d o |
maniobra	m a n i o b r a |
vaquero	v a q u e r o |
harás	h a r á s |
maten	m a t e n |
ante	a n t e |
contenedores	c o n t e n e d o r e s |
sacad	s a c a d |
candil	c a n d i l |
mucha	m u c h a |
remedios	r e m e d i o s |
toro	t o r o |
manolete	m a n o l e t e |
funciona	f u n c i o n a |
fabricar	f a b r i c a r |
sistema	s i s t e m a |
rastreo	r a s t r e o |
papel	p a p e l |
fumar	f u m a r |
perdieras	p e r d i e r a s |
tranquilidad	t r a n q u i l i d a d |
estudios	e s t u d i o s |
devoción	d e v o c i ó n |
ciruelas	c i r u e l a s |
milagrosamente	m i l a g r o s a m e n t e |
ileso	i l e s o |
machete	m a c h e t e |
rostros	r o s t r o s |
negros	n e g r o s |
dientes	d i e n t e s |
llamas	l l a m a s |
iluminaban	i l u m i n a b a n |
felices	f e l i c e s |
gustado	g u s t a d o |
fresca	f r e s c a |
agradable	a g r a d a b l e |
larga	l a r g a |
llames	l l a m e s |
pregunté	p r e g u n t é |
dominado	d o m i n a d o |
cólera	c ó l e r a |
violenta	v i o l e n t a |
retirarme	r e t i r a r m e |
descansar	d e s c a n s a r |
cumpla	c u m p l a |
juramento	j u r a m e n t o |
función	f u n c i ó n |
comenzar	c o m e n z a r |
operación	o p e r a c i ó n |
comisiones	c o m i s i o n e s |
nochebuena	n o c h e b u e n a |
cortar	c o r t a r |
segundos	s e g u n d o s |
patito	p a t i t o |
suspiro	s u s p i r o |
arcángel	a r c á n g e l |
encendiendo	e n c e n d i e n d o |
virtudes	v i r t u d e s |
das	d a s |
utiliza	u t i l i z a |
leches	l e c h e s |
paso	p a s o |
equivocar	e q u i v o c a r |
chatees	c h a t e e s |
conocemos	c o n o c e m o s |
suben	s u b e n |
vuelven	v u e l v e n |
funcionar	f u n c i o n a r |
propia	p r o p i a |
malestar	m a l e s t a r |
tenue	t e n u e |
sonrisa	s o n r i s a |
ruda	r u d a |
aulladora	a u l l a d o r a |
tribu	t r i b u |
transporte	t r a n s p o r t e |
urbano	u r b a n o |
contaminante	c o n t a m i n a n t e |
valiente	v a l i e n t e |
ligero	l i g e r o |
pies	p i e s |
realista	r e a l i s t a |
disfraz	d i s f r a z |
tiempos	t i e m p o s |
adriano	a d r i a n o |
cuéllar	c u é l l a r |
tipa	t i p a |
tarada	t a r a d a |
asesina	a s e s i n a |
oficial	o f i c i a l |
idea	i d e a |
pairo	p a i r o |
creyese	c r e y e s e |
nieva	n i e v a |
barriga	b a r r i g a |
vacía	v a c í a |
muestra	m u e s t r a |
servicio	s e r v i c i o |
restaurante	r e s t a u r a n t e |
baila	b a i l a |
bebe	b e b e |
técnico	t é c n i c o |
pondrá	p o n d r á |
solucionar	s o l u c i o n a r |
labrado	l a b r a d o |
mira	m i r a |
vuestro	v u e s t r o |
comedia	c o m e d i a |
formulando	f o r m u l a n d o |
añadió	a ñ a d i ó |
estuviese	e s t u v i e s e |
resuelto	r e s u e l t o |
dame	d a m e |
recomiendo	r e c o m i e n d o |
parche	p a r c h e |
hierbas	h i e r b a s |
novio	n o v i o |
convencer	c o n v e n c e r |
accidente	a c c i d e n t e |
pavimento	p a v i m e n t o |
mirar	m i r a r |
bus	b u s |
puso	p u s o |
ambas	a m b a s |
hombros	h o m b r o s |
fingida	f i n g i d a |
recorrimos	r e c o r r i m o s |
feria	f e r i a |
deshecho	d e s h e c h o |
legajos	l e g a j o s |
pleito	p l e i t o |
culo	c u l o |
botella	b o t e l l a |
moriremos	m o r i r e m o s |
permitirá	p e r m i t i r á |
pregunta	p r e g u n t a |
conoce	c o n o c e |
pechugas	p e c h u g a s |
debía	d e b í a |
infernal	i n f e r n a l |
obligación	o b l i g a c i ó n |
llores	l l o r e s |
suscripción	s u s c r i p c i ó n |
netflix	n e t f l i x |
susurras	s u s u r r a s |
castellano	c a s t e l l a n o |
necesitas	n e c e s i t a s |
microscopio	m i c r o s c o p i o |
cosita	c o s i t a |
enemigo	e n e m i g o |
pequeño	p e q u e ñ o |
sacudían	s a c u d í a n |
orejas	o r e j a s |
temblaban	t e m b l a b a n |
calenturientos	c a l e n t u r i e n t o s |
matilde	m a t i l d e |
halitosis	h a l i t o s i s |
ángeles	á n g e l e s |
instituciones	i n s t i t u c i o n e s |
estarán	e s t a r á n |
presentes	p r e s e n t e s |
leds	l e d s |
infantil	i n f a n t i l |
quietos	q u i e t o s |
yerra	y e r r a |
preguntas	p r e g u n t a s |
pases	p a s e s |
javier	j a v i e r |
ramos	r a m o s |
cómico	c ó m i c o |
políticamente	p o l í t i c a m e n t e |
incorrecto	i n c o r r e c t o |
ley	l e y |
tocar	t o c a r |
piano	p i a n o |
violín	v i o l í n |
traje	t r a j e |
campos	c a m p o s |
esperanza	e s p e r a n z a |
llaman	l l a m a n |
delantal	d e l a n t a l |
parís	p a r í s |
dimensiones	d i m e n s i o n e s |
alegre	a l e g r e |
fuego	f u e g o |
nieve	n i e v e |
durmió	d u r m i ó |
mesa	m e s a |
ayúdame	a y ú d a m e |
chis	c h i s |
estemos	e s t e m o s |
muera	m u e r a |
podrán	p o d r á n |
parecer	p a r e c e r |
listos	l i s t o s |
magia	m a g i a |
entró	e n t r ó |
virus	v i r u s |
perdió	p e r d i ó |
trabajos	t r a b a j o s |
serpientes	s e r p i e n t e s |
similares	s i m i l a r e s |
otras	o t r a s |
peligrosas	p e l i g r o s a s |
tire	t i r e |
piedra	p i e d r a |
contracorriente	c o n t r a c o r r i e n t e |
prudente	p r u d e n t e |
futuro	f u t u r o |
registrar	r e g i s t r a r |
patita	p a t i t a |
distinto	d i s t i n t o |
sacrificio	s a c r i f i c i o |
andrades	a n d r a d e s |
cela	c e l a |
clamaba	c l a m a b a |
cientos	c i e n t o s |
miles	m i l e s |
cabos	c a b o s |
bombillas	b o m b i l l a s |
buenas	b u e n a s |
dejen	d e j e n |
olvidados	o l v i d a d o s |
presupuesto	p r e s u p u e s t o |
ajustado	a j u s t a d o |
arruinará	a r r u i n a r á |
volver	v o l v e r |
tornó	t o r n ó |
llenarlos	l l e n a r l o s |
pillado	p i l l a d o |
valeria	v a l e r i a |
saquemos	s a q u e m o s |
frases	f r a s e s |
atraco	a t r a c o |
corrupción	c o r r u p c i ó n |
partido	p a r t i d o |
perdiese	p e r d i e s e |
aceptado	a c e p t a d o |
cultura	c u l t u r a |
rojizo	r o j i z o |
abultada	a b u l t a d a |
tornaba	t o r n a b a |
padres	p a d r e s |
hala	h a l a |
treinta	t r e i n t a |
nudos	n u d o s |
querellaban	q u e r e l l a b a n |
jugada	j u g a d a |
perdía	p e r d í a |
amenazaba	a m e n a z a b a |
ganancioso	g a n a n c i o s o |
jodas	j o d a s |
vienes	v i e n e s |
relajado	r e l a j a d o |
segunda	s e g u n d a |
levantarme	l e v a n t a r m e |
quedó	q u e d ó |
abrirlo	a b r i r l o |
esperaba	e s p e r a b a |
ama	a m a |
perece	p e r e c e |
vuestra	v u e s t r a |
entiende	e n t i e n d e |
suelo	s u e l o |
veintitrés	v e i n t i t r é s |
menú	m e n ú |
tomando	t o m a n d o |
hízola	h í z o l a |
jacal	j a c a l |
deberías	d e b e r í a s |
haberlos	h a b e r l o s |
agarrado	a g a r r a d o |
cuerdo	c u e r d o |
mes	m e s |
venden	v e n d e n |
peso	p e s o |
majo	m a j o |
saludaba	s a l u d a b a |
aceitunas	a c e i t u n a s |
pájaro	p á j a r o |
labores	l a b o r e s |
enamores	e n a m o r e s |
empieza	e m p i e z a |
dulce	d u l c e |
segura	s e g u r a |
encontrarás	e n c o n t r a r á s |
castilla	c a s t i l l a |
meses	m e s e s |
infierno	i n f i e r n o |
sobrino	s o b r i n o |
pagaba	p a g a b a |
fantas	f a n t a s |
cansarlos	c a n s a r l o s |
delicado	d e l i c a d o |
grado	g r a d o |
amado	a m a d o |
andando	a n d a n d o |
robocop	r o b o c o p |
medida	m e d i d a |
envejezco	e n v e j e z c o |
desconsuela	d e s c o n s u e l a |
ganó	g a n ó |
trofeo	t r o f e o |
competición	c o m p e t i c i ó n |
poniendo	p o n i e n d o |
ofensivo	o f e n s i v o |
fuí	f u í |
mujeres	m u j e r e s |
voces	v o c e s |
familiares	f a m i l i a r e s |
remedio	r e m e d i o |
recuerda	r e c u e r d a |
bloques	b l o q u e s |
sentíase	s e n t í a s e |
borboteo	b o r b o t e o |
estertor	e s t e r t o r |
caído	c a í d o |
coherente	c o h e r e n t e |
sentar	s e n t a r |
quedaron	q u e d a r o n |
mala	m a l a |
sazón	s a z ó n |
asumo	a s u m o |
riesgos	r i e s g o s |
escucha	e s c u c h a |
grabado	g r a b a d o |
cubierta	c u b i e r t a |
vana	v a n a |
habrán	h a b r á n |
echado	e c h a d o |
combatir	c o m b a t i r |
abrigarse	a b r i g a r s e |
soplo	s o p l o |
aliento	a l i e n t o |
satanás	s a t a n á s |
pecados	p e c a d o s |
presentó	p r e s e n t ó |
diciendo	d i c i e n d o |
bolsa	b o l s a |
plástico	p l á s t i c o |
medusa	m e d u s a |
donada	d o n a d a |
guió	g u i ó |
través	t r a v é s |
claustro	c l a u s t r o |
sombreado	s o m b r e a d o |
oscuros	o s c u r o s |
naranjos	n a r a n j o s |
piensan	p i e n s a n |
sienten	s i e n t e n |
ayuntamientos	a y u n t a m i e n t o s |
garraf	g a r r a f |
moqueta	m o q u e t a |
camión	c a m i ó n |
interrumpiéndose	i n t e r r u m p i é n d o s e |
tornando	t o r n a n d o |
empezar	e m p e z a r |
zongueando	z o n g u e a n d o |
cuitas	c u i t a s |
paria	p a r i a |
celoso	c e l o s o |
serrallo	s e r r a l l o |
café	c a f é |
popular	p o p u l a r |
ladrones	l a d r o n e s |
llevaron	l l e v a r o n |
aparatos	a p a r a t o s |
electrónicos	e l e c t r ó n i c o s |
reemplazado	r e e m p l a z a d o |
sonaban	s o n a b a n |
confusas	c o n f u s a s |
blando	b l a n d o |
pataleo	p a t a l e o |
descalzos	d e s c a l z o s |
permanente	p e r m a n e n t e |
marquesa	m a r q u e s a |
bradomín	b r a d o m í n |
educación	e d u c a c i ó n |
hablas	h a b l a s |
lástima	l á s t i m a |
único	ú n i c o |
pepitas	p e p i t a s |
kiwi	k i w i |
derramé	d e r r a m é |
implicada	i m p l i c a d a |
princesa	p r i n c e s a |
igualitas	i g u a l i t a s |
quise	q u i s e |
fuente	f u e n t e |
ellas	e l l a s |
impidieron	i m p i d i e r o n |
gritos	g r i t o s |
habíame	h a b í a m e |
figurado	f i g u r a d o |
jugador	j u g a d o r |
rehusaría	r e h u s a r í a |
galantemente	g a l a n t e m e n t e |
cobrar	c o b r a r |
deuda	d e u d a |
chaval	c h a v a l |
estatutos	e s t a t u t o s |
santa	s a n t a |
religión	r e l i g i ó n |
demasiados	d e m a s i a d o s |
dulces	d u l c e s |
helados	h e l a d o s |
error	e r r o r |
escojo	e s c o j o |
pariente	p a r i e n t e |
sígueme	s í g u e m e |
corazonada	c o r a z o n a d a |
libro	l i b r o |
escrito	e s c r i t o |
cervantes	c e r v a n t e s |
burla	b u r l a |
escapa	e s c a p a |
aprendiz	a p r e n d i z |
anclada	a n c l a d a |
castillo	c a s t i l l o |
ulua	u l u a |
mires	m i r e s |
dentado	d e n t a d o |
rogando	r o g a n d o |
mazo	m a z o |
colchón	c o l c h ó n |
crecía	c r e c í a |
corro	c o r r o |
jugadores	j u g a d o r e s |
viendo	v i e n d o |
flamear	f l a m e a r |
botes	b o t e s |
rachas	r a c h a s |
sollozó	s o l l o z ó |
reuniremos	r e u n i r e m o s |
gentes	g e n t e s |
persiguiendo	p e r s i g u i e n d o |
campanillazo	c a m p a n i l l a z o |
solía	s o l í a |
término	t é r m i n o |
ensamblado	e n s a m b l a d o |
placa	p l a c a |
gordos	g o r d o s |
enfada	e n f a d a |
sean	s e a n |
centenes	c e n t e n e s |
embarqué	e m b a r q u é |
londres	l o n d r e s |
vivía	v i v í a |
emigrado	e m i g r a d o |
traición	t r a i c i ó n |
vergara	v e r g a r a |
mangado	m a n g a d o |
tableta	t a b l e t a |
digital	d i g i t a l |
blancas	b l a n c a s |
palomas	p a l o m a s |
aquellas	a q u e l l a s |
apartadas	a p a r t a d a s |
mundana	m u n d a n a |
partiremos	p a r t i r e m o s |
estrella	e s t r e l l a |
